"k","max_depth","F1"
"10","3",0.0277777777777778
"10","3",0.0810810810810811
"10","3",0.106666666666667
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",NA
"10","3",0.0547945205479452
"10","3",0.0555555555555556
"10","3",NA
"10","3",0.028169014084507
"10","5",0.48936170212766
"10","5",0.514851485148515
"10","5",0.530612244897959
"10","5",0.434782608695652
"10","5",0.515463917525773
"10","5",0.530612244897959
"10","5",0.456521739130435
"10","5",0.51063829787234
"10","5",0.494623655913978
"10","5",0.551020408163265
"10","5",0.456521739130435
"10","5",0.594059405940594
"10","5",0.536082474226804
"10","5",0.48936170212766
"10","5",0.43956043956044
"10","5",0.574257425742574
"10","5",0.473118279569892
"10","5",0.48936170212766
"10","5",0.494623655913978
"10","5",0.515463917525773
"10","5",0.463157894736842
"10","5",0.520833333333333
"10","5",0.5
"10","5",0.5
"10","5",0.473118279569892
"10","5",0.520833333333333
"10","5",0.404494382022472
"10","5",0.51063829787234
"10","5",0.613861386138614
"10","5",0.520833333333333
"10","5",0.530612244897959
"10","5",0.473118279569892
"10","5",0.48936170212766
"10","5",0.551020408163265
"10","5",0.4
"10","5",0.451612903225806
"10","5",0.520833333333333
"10","5",0.613861386138614
"10","5",0.56
"10","5",0.505263157894737
"10","5",0.4
"10","5",0.520833333333333
"10","5",0.551020408163265
"10","5",0.515463917525773
"10","5",0.48936170212766
"10","5",0.468085106382979
"10","5",0.494845360824742
"10","5",0.551020408163265
"10","5",0.541666666666667
"10","5",0.456521739130435
"10","5",0.510204081632653
"10","5",0.48936170212766
"10","5",0.451612903225806
"10","5",0.456521739130435
"10","5",0.5
"10","5",0.468085106382979
"10","5",0.594059405940594
"10","5",0.601941747572815
"10","5",0.456521739130435
"10","5",0.426966292134831
"10","5",0.58
"10","5",0.525252525252525
"10","5",0.468085106382979
"10","5",0.404494382022472
"10","5",0.505263157894737
"10","5",0.5
"10","5",0.422222222222222
"10","5",0.536082474226804
"10","5",0.48936170212766
"10","5",0.551020408163265
"10","5",0.473118279569892
"10","5",0.601941747572815
"10","5",0.43956043956044
"10","5",0.446808510638298
"10","5",0.607843137254902
"10","5",0.367816091954023
"10","5",0.520833333333333
"10","5",0.594059405940594
"10","5",0.640776699029126
"10","5",0.404494382022472
"10","5",0.536082474226804
"10","5",0.5
"10","5",0.434782608695652
"10","5",0.5
"10","5",0.5
"10","5",0.5
"10","5",0.536082474226804
"10","5",0.556701030927835
"10","5",0.461538461538462
"10","5",0.585858585858586
"10","5",0.348837209302326
"10","5",0.545454545454545
"10","5",0.505263157894737
"10","5",0.594059405940594
"10","5",0.468085106382979
"10","5",0.685185185185185
"10","5",0.43956043956044
"10","5",0.545454545454546
"10","5",0.594059405940594
"10","5",0.484210526315789
"10","Unlimited",0.8
"10","Unlimited",0.793893129770992
"10","Unlimited",0.841269841269841
"10","Unlimited",0.780487804878049
"10","Unlimited",0.82258064516129
"10","Unlimited",0.861538461538462
"10","Unlimited",0.834645669291339
"10","Unlimited",0.786324786324786
"10","Unlimited",0.84375
"10","Unlimited",0.806201550387597
"10","Unlimited",0.783333333333333
"10","Unlimited",0.813008130081301
"10","Unlimited",0.857142857142857
"10","Unlimited",0.837209302325581
"10","Unlimited",0.8
"10","Unlimited",0.828125
"10","Unlimited",0.787878787878788
